,id,nct_id,outcome_type,measure,time_frame,population,description
0,272006148,NCT03556657,primary,Change from baseline in Adult Sickle Cell Quality of Life Measurement Information System (ASCQ-Me),Pre-test at baseline and post-test at 10 weeks,,"A patient-reported outcome measurement system that addresses the physical, social, and emotional impact of SCD. ASCQ-Me scores are calculated in the direction of overall health, with higher ASCQ-Me scores indicating better health."
1,273155865,NCT01812382,secondary,Safety and tolerability of the microdialysis technique with perfused Retapamulin assessed by Laboratory parameters,Single day,,"Laboratory parameters include: Hematology, Clinical Chemistry and additional parameters"
2,272450475,NCT01751113,primary,Area Under the Curve Calculated From 0 to 4 Hours (AUC[0-4hr]) Specific Conductance (sGaw) After the Morning Dose of Study Medication at Day 28 of Each Treatment Period,Day 28 of each treatment period (up to 35 days),,"sGaw is a measure of airways conductance and is intimately related to the diameter of the airways and consequently the level of bronchodilation. Plethysmography was performed to assess sGaw. The AUC was determined by using the trapezoidal rule and then dividing by the relevant time interval. A natural logarithmic transformation was applied and the data was analyzed by a mixed model including treatment, period and Baseline sGaw fitted as fixed effects and participants fitted as a random effect. Treatment ratios of all statistical comparisons were calculated by taking the anti-log of the difference between the Least Square (LS) means."
3,272682367,NCT05834790,primary,Baseline oral healthcare-related knowledge,This outcome will be measured before intervention for all groups,,"Fifteen statements will be used to measure participants' knowledge. The possible answers include True, False, and Don't know. Correct answer scores 1, while incorrect answer and Don't know score 0. A higher score indicates a higher degree of oral healthcare-related knowledge with a possible score of 0-15"
4,272354029,NCT01813474,secondary,Tmax Following Single Dosing,"Day 1: pre-dose, 0.25, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24, 48 hours at post-dose",,
5,272047168,NCT03979781,secondary,Patient-centered Outcomes - Satisfaction,1 year,,consumer assessment of healthcare providers and systems
6,272747876,NCT01333813,secondary,Number of Subjects Demonstrating an Anamnestic Response to the Engerix-B Kinder Challenge Dose,After Engerix-B Kinder challenge dose (Month 1),,"The anamnestic response is defined as an antibody concentration ≥ 10 mIU/mL at post Engerix-B Kinder challenge dose time point for initially seronegative subjects ,and as an antibody concentration at post Engerix-B Kinder challenge dose time point ≥ 4 fold the pre-vaccination antibody concentration for initially seropositive subjects. A seropositive/seronegative subject was defined as subject with HBs antibody concentration below/greater than or equal to the seropositivity cut-off of 6.2 mIU/mL. A decrease in the specificity of the anti-HBs ELISA had been observed in some studies for low levels of antibody (10-100 mIU/mL). All the available blood samples initially tested with ELISA were re-tested using the Chemi Luminescence Immuno Assay (CLIA) approved by the US Food and Drug Administration (FDA). The table shows updated results following partial or complete retesting/reanalysis and the initial 3.3 mIU/mL seropositivity cut-off was revised into the new 6.2 mIU/mL cut-off."
7,272803040,NCT04805333,primary,Recommended Phase II Dose,150 days,,"This study will determine the recommended phase II dose of Artemisia annua decaffeinated coffee. Once the dose escalation is finished or 12 patients are evaluated for the dose-limiting toxicity (DLT), the final recommended phase II dose will be determined by isotonic regression to pool the DLT information across all dose levels."
8,272848024,NCT05137938,primary,Change in symptom severity of depression as measured by the Hamilton Rating Scale for Depression - 24,2 months,,"Hamilton Rating Scale for Depression (24-item version); This scale is used to quantify the severity of symptoms of depression Scale range: 0-76 (total score) Lower scores indicate lower severity of depressive symptoms (i.e., better outcome) Higher scores indicate higher severity of depressive symptoms (i.e., worse outcome)"
9,271380013,NCT01213680,primary,Total serum iron pharmakokinetic parameters,"24, 48 and72 hours",,
10,273506616,NCT06108427,secondary,Acute kidney injury (>50% increase in serum creatinine),12 months,,>50% increase in serum creatinine
11,271455889,NCT03286400,secondary,Number of Subjects With Freedom From Major Adverse Events at 12 Months,12 Months,,"Freedom from: Lesion-related mortality, permanent paraplegia or paraparesis, disabling stroke, life-threatening myocardial infarction, new onset of renal failure, respiratory failure, life-threatening bowel ischemia, serious tissue ischemia, major blood loss"
12,272754909,NCT00538304,secondary,Percentage of Patients Who Were Very or Extremely Willing to Use This Glaucoma Medication at Month 1,Month 1,,"Percentage of patients who were very or extremely willing to continue to use this glaucoma medication based on their reported response to the question. Patients were asked ""Overall, based on how well this drug lowered your IOP, your concern about the preservation of your vision, balanced with any side effects you may have experienced using your medication, would you be willing to continue this medication (eye drops) if your physician prescribed it?"". The responses were extremely willing, very willing, somewhat willing and not willing. If not willing, patient was asked for reason."
13,271957787,NCT03391947,primary,Change in the amount of root coverage,"(1) one day before the surgery, (2) at 2 weeks post-surgery, (3) at 1 month post-surgery, (4) and at 3 months post-surgery",,"this will be measured as a change of gingival recession height GRH (the distance from the cemento-enamel junction CEJ to the gingival margin GM by using an endodontic finger spreader attached to a rubber stopper and after removing the spreader, penetration depth was measured with a caliper of 0.01-mm resolution) from baseline and follow-up period."
14,273730112,NCT02818413,primary,Baseline identification of microbial community present in stool,Approximately 1 week after collection of stool sample,,
15,273723954,NCT00857584,secondary,The Mean Change From Baseline to Week 1 in the Montgomery Asberg Depression Rating Scale (MADRS) Total Score,"baseline, week 1",,MADRS assesses severity of depressive symptoms. It ranges from a minimum of 0 to a maximum of 60 (higher scores indicating a greater severity of depressive symptoms)
16,271892980,NCT05783128,secondary,Articular sounds incidence,24 hours,,Assessement of grinding noises and nonclassifiable sounds using DC/TMD
17,274041268,NCT00757328,primary,Pharmacological treatments used in Spain by Psychiatrists in the management of bipolar depressive episodes in first and second line,Last two bipolar episodes recorded in tha patient's clinical history,,
18,272506340,NCT03775200,primary,Montgomery Asberg Depression Rating Scale (MADRS) Change From Baseline to Week 3,Change from Baseline to Week 3,,"MADRS is a clinician-rated scale measuring depression symptom severity, consisting of 10 items, each scored from 0 (normal) to 6 (severe), for a total possible score of between 0 to 60; higher scores denote greater severity. Response >= 50% decrease and remission <= 10 total score."
19,273641037,NCT04931407,primary,Compliance to the cognitive behavioral therapy groups sessions,Week 8,,Participation to the cognitive behavioral therapy groups sessions will be registered by the study coordinators/psychologists..
20,271861665,NCT03770169,primary,Validation of mVPAQ,1 week,,Cognitive debrief and usability through interviews and completion of an electronic diary
21,273883633,NCT02687594,primary,Incidence of Adverse Drug Reactions (ADRs),"through study completion, up to 42 months",,
22,273061436,NCT06053073,secondary,Meconial amniotic fluid,"During cervical rippening and labor, between 6 hours and 3 days",,Presence of absence
23,273992570,NCT02560233,other,Functional connectivity,At study day one,,Connectivity of brain activity determined by fMRI signal
24,272699055,NCT03402230,secondary,Dose-response Relationship Between Avmacol Dose and Detoxification of Tobacco Carcinogens,Up to 14 days post intervention,,Dose-response relationship between the Avmacol dose and the detoxification of tobacco carcinogens. Data presented as ratio of percent change of the overnight urinary excretion of mercapturic acid of benzene/acrolein/crotonaldehyde between the 8 tables and 4 tables dose.
25,273008123,NCT04496245,secondary,The proportion of HCW with documented Cov infection.,12 months,,The proportion of HCW in the initial treatment and wait-list control group with Cov infection documented by molecular techniques of seroconversion
26,273628092,NCT02882217,primary,Laboratory data,Changes from Day 8 (pre-dose) till Day 15,,"Laboratory data (hematology, biochemistry and urinalysis) will be summarized by treatment arm. Changes from pre-dose will be presented using shift tables (employing the categories 'normal', 'abnormal, clinically not significant' and 'abnormal, clinically significant') and absolute changes in laboratory values, if appropriate."
27,273944070,NCT02006069,secondary,Reverse Left Ventricular (LV) Remodeling,Baseline vs 12 Months,,"Evaluation of Reverse LV remodeling, measured as changed in left ventricular end-systolic volume (LVESV) from baseline to 12 months"
28,271405676,NCT01182948,secondary,Change in fasting plasma glucose levels,4 months,,
29,271324985,NCT04362475,secondary,A change in communication using the Parent-child communication,"Baseline, 6- and 18-month Follow-up",,"Parent-Adolescent Communication Scale (Barnes & Olson, 1982). The scale is composed of 20 items that measure the degree of openness and lack of problems in family communication. Items in the scale were developed with multiple referents such as ""my child,""""my parent,"" making it applicable to both parent and child perspectives. For example, an item on the child version that reads ""It is very easy for me to express all of my true feelings to my parent,"" appears as ""It is very easy for me to express all of my true feelings to my child"" on the parent version. Response options were on a 5-point Likert scale (1 = strongly disagree, 5 = strongly agree)."
30,273552708,NCT04570982,primary,Donor status,12 Weeks,,"donor health status: HIV, HBV, HCV, Syphillis
Donor status: duration after recovery from COVID-19, plasma antibody titer against SARS CoV-2"
31,273661316,NCT01215422,secondary,Cormack & Lehane Score,reported during intubation (up to 5 minutes),,This Outcome was designed to determine if the view of the airway as determined by the Cormack & Lehane grading system is improved by use of the GlideScope (GS) video laryngoscope and/or the Karl Storz Direct Coupled Interface (DCI) (KS) video laryngoscope as this would be a surrogate marker for utility in a difficult airway. Score is reported as a whole number from I to IV with I being an easy intubation and IV being one where the larynx cannot be visualized at all.
32,272739533,NCT03244020,secondary,Infection,"Up to 3 or 6 months post operatively for bone/soft tissue sarcomas and metastatic osseous disease, respectively",,"Infection requiring any sort of treatment (antibiotics alone, return to operating room)"
33,273981265,NCT05123664,secondary,Stool frequency,"Change from 7 day average prior to baseline to week 1, week 2 and week 3 averages. An increase from baseline stool frequency at Weeks 1, 2, or 3 in the B coagulans group, which is significantly better than the change in the placebo group, is desirable.",,Number of daily bowel movements
34,272667140,NCT05432310,secondary,Cessation of immunoglobulin replacement therapy (IgRT).,24 months,,Record time post-gene therapy that immunoglobulin replacement therapy (IgRT) is stopped based on defined criteria.
